id,cas_number,rtecs_number,conversion,idlh,rel_and_pel,molecular_weight,boiling_point,melting_point,solubility,vapor_pressure,ionization_potential,specific_gravity,flash_point,upper_explosive_limit,lower_explosive_limit,relative_gas_density,minimum_explosive_concentration,combustibility,exposure_routes,symptoms,target_organs,personal_protection_and_sanitation,first_aid
0011,107-02-8,,1 ppm = 2.29 mg/m<sup>3</sup>,2 ppm,: TWA 0.1 ppm (0.25 mg/m<sup>3</sup>) ST 0.3 ppm (0.8 mg/m<sup>3</sup>) : TWA 0.1 ppm (0.25 mg/m<sup>3</sup>),56.1,127°F,-126°F,40%,210 mmHg,10.13 eV,0.84,-15°F,31%,2.8%,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, mucous membrane; decreased pulmonary function; delayed pulmonary edema; chronic resp disease","Eyes, skin, respiratory system, heart","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0012,79-06-1,,,Ca [60 mg/m<sup>3</sup>],: Ca TWA 0.03 mg/m<sup>3</sup> [skin] : TWA 0.3 mg/m<sup>3</sup> [skin],71.1,347-572°F (Decomposes),184°F,Sol(86°F): 216%,0.007 mmHg,9.50 eV,1.12,280°F,?,?,,,Combustible Solid (may also be dissolved in flammable liquids).,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin; ataxia, numb limbs, paresthesia; muscle weak; absent deep tendon reflex; hand sweating; lassitude (weakness, exhaustion), drowsiness; reproductive effects; [potential occupational carcinogen]","Eyes, skin, central nervous system, peripheral nervous system, reproductive system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0013,79-10-7,,1 ppm = 2.95 mg/m<sup>3</sup>,N.D.,: TWA 2 ppm (6 mg/m<sup>3</sup>) [skin]                  : none,72.1,286°F,55°F,Miscible,3 mmHg,?,1.05,121°F,8.02%,2.4%,,,Class II Combustible Liquid: Fl.P. at or above 100°F and below 140°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, respiratory system; eye, skin burns; skin sensitization; in animals: lung, liver, kidney injury","Eyes, skin, respiratory system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0014,107-13-1,,1 ppm = 2.17 mg/m<sup>3</sup>,Ca [85 ppm],: Ca TWA 1 ppm C 10 ppm [15-minute] [skin] : [1910.1045] TWA 2 ppm C 10 ppm [15-minute] [skin],53.1,171°F,-116°F,7%,83 mmHg,10.91 eV,0.81,30°F,17%,3.0%,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin; asphyxia; headache; sneezing; nausea, vomiting; lassitude (weakness, exhaustion), dizziness; skin vesiculation; scaling dermatitis; [potential occupational carcinogen]","Eyes, skin, cardiovascular system, liver, kidneys, central nervous system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0015,111-69-3,,1 ppm = 4.43 mg/m<sup>3</sup>,N.D.,: TWA 4 ppm (18 mg/m<sup>3</sup>)                  : none,108.2,563°F,34°F,4.5%,0.002 mmHg,?,0.97,Fl.P(oc): 199°F,5.0%,1.7%,,,Class IIIA Combustible Liquid: Fl.P. at or above 140°F and below 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, respiratory system; headache, dizziness, lassitude (weakness, exhaustion), confusion, convulsions; blurred vision; dyspnea (breathing difficulty); abdominal pain, nausea, vomiting","Eyes, skin, respiratory system, central nervous system, cardiovascular system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0016,309-00-2,,,Ca [25 mg/m<sup>3</sup>],: Ca TWA 0.25 mg/m<sup>3</sup> [skin] : TWA 0.25 mg/m<sup>3</sup> [skin],364.9,Decomposes,219°F,0.003%,0.00008 mmHg,?,1.60,NA,NA,NA,,,"Noncombustible Solid, but may be dissolved in flammable liquids.","inhalation, skin absorption, ingestion, skin and/or eye contact","headache, dizziness; nausea, vomiting, malaise (vague feeling of discomfort); myoclonic jerks of limbs; clonic, tonic convulsions; coma; hematuria (blood in the urine), azotemia; [potential occupational carcinogen]","central nervous system, liver, kidneys, skin","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0017,107-18-6,,1 ppm = 2.38 mg/m<sup>3</sup>,20 ppm,: TWA 2 ppm (5 mg/m<sup>3</sup>) ST 4 ppm (10 mg/m<sup>3</sup>) [skin]                  : TWA 2 ppm (5 mg/m<sup>3</sup>) [skin],58.1,205°F,-200°F,Miscible,17 mmHg,9.63 eV,0.85,70°F,18.0%,2.5%,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","Eye irritation, tissue damage; irritation upper respiratory system, skin; pulmonary edema","Eyes, skin, respiratory system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Quick drench,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0018,107-05-1,,1 ppm = 3.13 mg/m<sup>3</sup>,250 ppm,: TWA 1 ppm (3 mg/m<sup>3</sup>) ST 2 ppm (6 mg/m<sup>3</sup>)                  : TWA 1 ppm (3 mg/m<sup>3</sup>),76.5,113°F,-210°F,0.4%,295 mmHg,10.05 eV,0.94,-25°F,11.1%,2.9%,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, nose, mucous membrane; pulmonary edema; in animals: liver, kidney injury","Eyes, skin, respiratory system, liver, kidneys",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Quick drench,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0019,106-92-3,,1 ppm = 4.67 mg/m<sup>3</sup>,50 ppm,: TWA 5 ppm (22 mg/m<sup>3</sup>) ST 10 ppm (44 mg/m<sup>3</sup>) [skin]                  : C 10 ppm (45 mg/m<sup>3</sup>),114.2,309°F,-148°F [forms glass],14%,2 mmHg,?,0.97,135°F,?,?,,,Class II Combustible Liquid: Fl.P. at or above 100°F and below 140°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, nose, respiratory system; dermatitis; pulmonary edema; narcosis; possible hematopoietic, reproductive effects","Eyes, skin, respiratory system, blood, reproductive system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0020,2179-59-1,,1 ppm = 6.07 mg/m<sup>3</sup>,N.D.,: TWA 2 ppm (12 mg/m<sup>3</sup>) ST 3 ppm (18 mg/m<sup>3</sup>)                  : TWA 2 ppm (12 mg/m<sup>3</sup>),148.3,?,5°F,Insoluble,?,?,Sp.Gr(59°F): 0.93,?,?,?,,,Combustible Liquid,"inhalation, ingestion, skin and/or eye contact","irritation eyes, nose, respiratory system; lacrimation (discharge of tears)","Eyes, respiratory system",() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0021,1344-28-1,,,N.D.,: : TWA 15 mg/m<sup>3</sup> (total) TWA 5 mg/m<sup>3</sup> (resp),101.9,5396°F,3632°F,Insoluble,0 mmHg (approx),NA,4.0,NA,NA,NA,,,"Noncombustible solid, but dusts may form explosive mixtures in air.","inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, respiratory system","Eyes, skin, respiratory system",() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Blot/brush away                  <strong>Breathing:</strong> Fresh air                  <strong>Swallow:</strong> Medical attention immediately
0022,7429-90-5,,,N.D.,: TWA 10 mg/m<sup>3</sup> (total) TWA 5 mg/m<sup>3</sup> (resp)                  : TWA 15 mg/m<sup>3</sup> (total) TWA 5 mg/m<sup>3</sup> (resp),27.0,4221°F,1220°F,Insoluble,0 mmHg (approx),NA,2.70,NA,NA,NA,,,"Combustible Solid, finely divided dust is easily ignited; may cause explosions.","inhalation, skin and/or eye contact","irritation eyes, skin, respiratory system","Eyes, skin, respiratory system",() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Breathing:</strong> Fresh air
0023,,,,N.D.,: TWA 5 mg/m<sup>3</sup>: none,Properties vary depending upon the specific aluminum compound.,,,,,,,,,,,,,"inhalation, ingestion, skin and/or eye contact","irritation skin, respiratory system; pulmonary fibrosis","Skin, respiratory system",() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0024,,,,N.D.,: TWA 2 mg/m<sup>3</sup>: none,Properties vary depending upon the specific aluminum compound.,,,,,,,,,,,,,"inhalation, ingestion, skin and/or eye contact","irritation skin, respiratory system; skin burns","Skin, respiratory system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0025,92-67-1,,,Ca [N.D.],: Ca,169.2,576°F,127°F,Slight,VP(227°F): 1 mmHg,?,1.16,?,?,?,,,"Combustible Solid, but must be preheated before ignition possible.","inhalation, skin absorption, ingestion, skin and/or eye contact","headache, dizziness; drowsiness, dyspnea (breathing difficulty); ataxia, lassitude (weakness, exhaustion); methemoglobinemia; urinary burning; acute hemorrhagic cystitis; [potential occupational carcinogen]","Bladder, skin","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0026,504-29-0,,1 ppm = 3.85 mg/m<sup>3</sup>,5 ppm,: TWA 0.5 ppm (2 mg/m<sup>3</sup>)                  : TWA 0.5 ppm (2 mg/m<sup>3</sup>),94.1,411°F,137°F,&gt;100%,VP(77°F): 0.8 mmHg,8.00 eV,?,154°F,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, nose, throat; headache, dizziness; excitement; nausea; high blood pressure; resp distress; lassitude (weakness, exhaustion); convulsions; stupor","central nervous system, respiratory system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Quick drench,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0027,61-82-5,,,Ca [N.D.],: Ca TWA 0.2 mg/m<sup>3</sup> : none,84.1,?,318°F,Sol(77°F): 28%,&lt;0.000008 mmHg,?,1.14,NA,NA,NA,,,"Noncombustible Solid, but may be dissolved in flammable liquids.","inhalation, ingestion, skin and/or eye contact","irritation eyes, skin; dyspnea (breathing difficulty), muscle spasms, ataxia, anorexia, salivation, increased body temperature; lassitude (weakness, exhaustion), skin dryness, depression (thyroid function suppression)","Eyes, skin, thyroid","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0028,7664-41-7,,1 ppm = 0.70 mg/m<sup>3</sup>,300 ppm,: TWA 25 ppm (18 mg/m<sup>3</sup>) ST 35 ppm (27 mg/m<sup>3</sup>)                  : TWA 50 ppm (35 mg/m<sup>3</sup>),17.0,-28°F,-108°F,34%,8.5 atm,10.18 eV,,NA (Gas),28%,15%,0.60,,"[Note: Although NH<sub>3</sub> does not meet the DOT definition of a Flammable Gas (for labeling purposes), it should be treated as one.]","inhalation, ingestion (solution), skin and/or eye contact (solution/liquid)","irritation eyes, nose, throat; dyspnea (breathing difficulty), wheezing, chest pain; pulmonary edema; pink frothy sputum; skin burns, vesiculation; liquid: frostbite","Eyes, skin, respiratory system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated (solution)                  <strong>Remove:</strong> When wet or contaminated (solution)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash (&gt;10%), Quick drench (&gt;10%)",()<strong>Eye:</strong> Irrigate immediately (solution/liquid)                  <strong>Skin:</strong> Water flush immediately (solution/liquid)                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately (solution)
0029,12125-02-9,,,N.D.,: TWA 10 mg/m<sup>3</sup> ST 20 mg/m<sup>3</sup>: none,53.5,Sublimes,662°F (Sublimes),37%,VP(321°F): 1 mmHg,NA,1.53,NA,NA,NA,,,Noncombustible Solid,"inhalation, skin and/or eye contact","irritation eyes, skin, respiratory system; cough, dyspnea (breathing difficulty), pulmonary sensitization","Eyes, skin, respiratory system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support
